date,IR3T_geomean,core_inf,gdp_delta,gdp_real,HUF_60_geomean,inf_target
2000-01-01,11.85102535,9.547374,0.958160199,3150966,72.34291845,0
2000-04-01,11.03321121,8.344205,0.915552815,3246323,71.71892915,0
2000-07-01,10.82646609,7.48724,0.825941481,3419231,71.84117955,0
2000-10-01,11.81412958,8.139106,1.628851376,3507533,71.43547611,0
2001-01-01,11.16126028,8.970503,0.920285071,3651576,74.68299113,0
2001-04-01,11.09525911,8.908284,0.873644444,3860742,77.14964216,0
2001-07-01,10.93966972,8.698892,0.817759348,3936605,79.86508827,0
2001-10-01,10.25790081,7.951423,0.857634623,3949777,80.44896988,0
2002-01-01,8.698492036,6.882658,2.272527426,4258888,83.66650308,7
2002-04-01,8.880235567,6.406862,0.508215825,4268055,85.78729833,7
2002-07-01,9.835045427,5.542559,0.984908818,4406561,86.35578218,7
2002-10-01,9.395120449,5.554214,0.983902296,4500354,89.24667528,7
2003-01-01,6.183943896,5.049391,0.83600556,4536237,90.62249938,4.5
2003-04-01,6.963681292,5.022935,1.195301869,4680263,89.9879325,4.5
2003-07-01,9.658517898,5.625552,1.110339024,4834820,86.99543815,4.5
2003-10-01,10.99318059,5.684737,1.143246102,5082491,88.64767451,4.5
2004-01-01,12.46571908,7.088903,1.420506677,5193922,92.10424357,3.5
2004-04-01,11.52747056,6.699316,1.03068353,5292777,94.66332829,3.5
2004-07-01,11,6.228745,1.132561194,5279267,96.13316824,3.5
2004-10-01,10.34224488,5.666018,0.492919176,5311491,97.96862991,3.5
2005-01-01,8.384303169,3.929582,1.021794532,5366844,98.64624159,3.5
2005-04-01,7.313100888,3.528124,1.802576753,5598752,96.6574742,3.5
2005-07-01,6.155242627,3.17958,0.743674615,5721301,97.0689134,3.5
2005-10-01,6.186610892,2.984201,1.156720494,5862123,93.63249278,3.5
2006-01-01,6.02,1.537572,0.861919534,5839033,92.54313193,4
2006-04-01,6.25,1.395252,1.367539587,6048380,89.84447338,4
2006-07-01,7.274739299,2.242028,0.655511141,6212855,88.53497122,4
2006-10-01,8.2,3.803458,0.89798214,6216032,95.6155708,4
2007-01-01,8.124961538,5.866081,-1.362097793,6329110,100.6616099,3.5
2007-04-01,8.099382693,6.303123,-0.08659497,6336565,103.5051094,3
2007-07-01,7.799729872,6.018004,0.562137426,6482827,102.4418983,3
2007-10-01,7.576462265,4.843957,0.415553351,6552867,103.2694827,3
2008-01-01,7.987239824,4.033697,0.926887068,6921864,102.3615196,3
2008-04-01,8.597733493,3.638445,0.424264011,6834415,108.2697884,3
2008-07-01,8.635657111,3.322453,-0.173849568,6705301,112.0827776,3
2008-10-01,10.42631381,3.020862,-3.239553558,6755784,98.85504287,3
2009-01-01,9.8,2.468639,-4.273177021,6609781,95.614355,3
2009-04-01,10.44516355,3.368886,-0.113719411,6591102,93.55581786,3
2009-07-01,9.235439083,6.218839,-0.015676332,6556715,102.5960139,3
2009-10-01,7.452731194,6.123113,-0.041010996,6700666,104.501423,3
2010-01-01,6.669517185,6.092056,-0.255080447,6664591,103.2990239,3
